post_id,title,category,score,num_comments,author,collected_at
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-10 14:27:42
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-10 14:27:46
47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-10 14:27:49
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,318,90,player_piano,2026-04-10 14:27:55
47710319,BYD teams up with KFC to offer 9 minute EV charging,sports,10,1,breve,2026-04-10 14:28:04
47709535,Lethal conflict after group fission in wild chimpanzees,sports,8,1,impish9208,2026-04-10 14:28:12
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 14:28:17
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-10 14:28:24
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,57,18,zdw,2026-04-10 14:28:36
47710608,FCC considers retroactive ban on foreign hardware,worldnews,6,4,topspin,2026-04-10 14:28:38
47709123,How Iran's Information War Machine Operates Online,worldnews,6,0,mikhael,2026-04-10 14:28:40
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,32,12,brene,2026-04-10 14:28:48
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-10 14:29:03
47712641,White House Warns Staff Not to Place Bets on Prediction Markets Amid Iran War,worldnews,11,3,bookofjoe,2026-04-10 14:29:13
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,39,23,beardyw,2026-04-10 14:29:21
47710595,The Iran war depleted US weapons. Rebuilding will require China's cooperation,worldnews,11,0,n1b0m,2026-04-10 14:29:37
47704060,Not just spyware scandals: EU is funding the industry that spies on Europeans,worldnews,8,0,latexr,2026-04-10 14:29:47
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-10 14:30:10
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-10 14:30:19
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-10 14:30:35
